lambda,u4_qmc_eta10,u4_ed_eta10,x2_qmc_eta10,x2_ed_eta10,u4_qmc_eta50,u4_ed_eta50,x2_qmc_eta50,x2_ed_eta50,u4_qmc_eta200,u4_ed_eta200,x2_qmc_eta200,x2_ed_eta200,u4_qmc_eta500,u4_ed_eta500,x2_qmc_eta500,x2_ed_eta500
1.660000,1.6191769903e-1,1.6404139420e-1,2.0077071496e0,2.0112361061e0,2.1538611881e-2,2.0649631005e-2,1.2158590500e0,1.2146526178e0,2.1430028734e-3,1.7899479798e-3,1.0557855504e0,1.0547121380e0,3.3814747353e-4,3.0808022823e-4,1.0214199453e0,1.0219794353e0
1.680000,1.6723454769e-1,1.6820506386e-1,2.0343200989e0,2.0368532157e0,2.0788601468e-2,2.1481409307e-2,1.2187960286e0,1.2198713762e0,2.2697764918e-3,1.8730881954e-3,1.0574326330e0,1.0560387151e0,3.1945658628e-4,3.2286179077e-4,1.0207197243e0,1.0225122686e0
1.700000,1.7225553616e-1,1.7237317459e-1,2.0639554285e0,2.0628185282e0,2.3330453572e-2,2.2332573690e-2,1.2250025794e0,1.2251533304e0,2.1598221629e-3,1.9589267291e-3,1.0559133109e0,1.0573811922e0,3.1233886761e-4,3.3815676932e-4,1.0204408527e0,1.0230514839e0
1.720000,1.7601202919e-1,1.7654381372e-1,2.0854870956e0,2.0891327562e0,2.5022907034e-2,2.3203125646e-2,1.2329244256e0,1.2304985026e0,2.4117281290e-3,2.0475103735e-3,1.0593060343e0,1.0587395698e0,3.9377271943e-4,3.5397606612e-4,1.0230909303e0,1.0235970813e0
1.740000,1.7985342568e-1,1.8071512581e-1,2.1124521204e0,2.1157965835e0,2.5851451142e-2,2.4093056410e-2,1.2369845585e0,1.2359069149e0,2.4123739068e-3,2.1388857583e-3,1.0593716774e0,1.0601138483e0,3.7780563772e-4,3.7033065038e-4,1.0226191163e0,1.0241490609e0
1.760000,1.8505365042e-1,1.8488531319e-1,2.1440373043e0,2.1428106645e0,2.5252223290e-2,2.5002347084e-2,1.2376667465e0,1.2413785898e0,1.8290861206e-3,2.2330993328e-3,1.0609567045e0,1.0615040281e0,-1.3912197630e-3,3.8723155628e-4,1.0267708799e0,1.0247074227e0
1.780000,1.8914233425e-1,1.8905263640e-1,2.1730485645e0,2.1701756238e0,2.7006664183e-2,2.5930968787e-2,1.2423773428e0,1.2469135497e0,2.9907528253e-3,2.3301973494e-3,1.0664734693e0,1.0629101097e0,4.7002738167e-4,4.0468988114e-4,1.0253354890e0,1.0252721667e0
1.800000,1.9377627003e-1,1.9321541434e-1,2.1990627591e0,2.1978920559e0,2.7430899812e-2,2.6878882797e-2,1.2498686930e0,1.2525118172e0,2.3131390531e-3,2.4302258469e-3,1.0664882880e0,1.0643320936e0,4.3035262519e-4,4.2271678345e-4,1.0241524497e0,1.0258432929e0
1.820000,1.9848503355e-1,1.9737202433e-1,2.2255299564e0,2.2259605242e0,2.9654767073e-2,2.7846040715e-2,1.2587046231e0,1.2581734148e0,2.3768065993e-3,2.5332306342e-3,1.0670639404e0,1.0657699802e0,5.3039722917e-4,4.4132348098e-4,1.0270334837e0,1.0264208014e0
1.840000,2.0277770749e-1,2.0152090204e-1,2.2551190817e0,2.2543815610e0,2.9446532681e-2,2.8832384634e-2,1.2626423715e0,1.2638983653e0,2.2283260205e-3,2.6392572735e-3,1.0724598631e0,1.0672237700e0,7.4164774395e-4,4.6052124883e-4,1.0320559983e0,1.0270046922e0
1.860000,2.0666516263e-1,2.0566054124e-1,2.2835390151e0,2.2831556669e0,2.9341987077e-2,2.9837847305e-2,1.2671174271e0,1.2696866915e0,3.3478760612e-3,2.7483510648e-3,1.0705602947e0,1.0686934635e0,6.6935687480e-4,4.8032141753e-4,1.0304426372e0,1.0275949653e0
1.880000,2.1079925873e-1,2.0978949349e-1,2.3132828170e0,2.3122833105e0,3.2078412106e-2,3.0862352330e-2,1.2765157570e0,1.2755384163e0,3.1019536056e-3,2.8605570300e-3,1.0676944831e0,1.0701790612e0,5.7486355561e-4,5.0073537105e-4,1.0280242803e0,1.0281916208e0
1.900000,2.1452231566e-1,2.1390636763e-1,2.3423174059e0,2.3417649284e0,3.1678201152e-2,3.1905814340e-2,1.2797417409e0,1.2814535626e0,3.3315709303e-3,2.9759198970e-3,1.0703170457e0,1.0716805636e0,5.7802781628e-4,5.2177454493e-4,1.0281329127e0,1.0287946587e0
1.920000,2.1807587968e-1,2.1800982925e-1,2.3732429064e0,2.3716009241e0,3.1098287186e-2,3.2968139201e-2,1.2871204529e0,1.2874321535e0,3.8729679175e-3,3.0944840846e-3,1.0763318935e0,1.0731979711e0,5.5108323667e-4,5.4345042429e-4,1.0274324538e0,1.0294040790e0
1.940000,2.2259550606e-1,2.2209860004e-1,2.4020572581e0,2.4017916688e0,3.1433390582e-2,3.4049224202e-2,1.2950939518e0,1.2934742120e0,3.7825460409e-3,3.2162936874e-3,1.0754239639e0,1.0747312842e0,7.1422121795e-4,5.6577454187e-4,1.0313980443e0,1.0300198818e0
1.960000,2.2552394497e-1,2.2617145704e-1,2.4354634360e0,2.4323375004e0,3.6473018418e-2,3.5148958271e-2,1.2954347089e0,1.2995797613e0,3.7227722557e-3,3.3413924607e-3,1.0746163819e0,1.0762805034e0,-7.9359462631e-4,5.8875847613e-4,1.0319104163e0,1.0306420672e0
1.980000,2.2947916879e-1,2.3022723184e-1,2.4559052741e0,2.4632387239e0,3.8444293644e-2,3.6267222181e-2,1.3051436730e0,1.3057488245e0,4.0954242788e-3,3.4698238062e-3,1.0785431361e0,1.0778456293e0,8.7400293497e-4,6.1241384924e-4,1.0348445564e0,1.0312706350e0
2.000000,2.3499692776e-1,2.3426480967e-1,2.5000101290e0,2.4944956108e0,3.8455110180e-2,3.7403888762e-2,1.3072347013e0,1.3119814250e0,4.0128162195e-3,3.6016307571e-3,1.0776333409e0,1.0794266624e0,8.6509811075e-4,6.3675232518e-4,1.0346707807e0,1.0319055854e0
