lambda,ntilde_eta50,sigmaz_eta50,x2_eta50,u4x_eta50,gap_eta50,cv_eta50,ntilde_eta200,sigmaz_eta200,x2_eta200,u4x_eta200,gap_eta200,cv_eta200,ntilde_eta1000,sigmaz_eta1000,x2_eta1000,u4x_eta1000,gap_eta1000,cv_eta1000
5.247959,2.7424370915e1,-1.1620207385e-1,3.1962354887e0,3.1445671162e-1,3.3231226431e-1,9.9081034357e-2,2.7408122379e1,-4.8824224721e-1,1.5488249275e0,8.3615838250e-2,7.5925719996e-1,3.3987685933e-1,2.7502667488e1,-6.9869410922e-1,1.1100490527e0,6.5502523924e-3,9.4640734958e-1,4.0765508321e-1
5.348980,2.8499802477e1,-1.0760107446e-1,3.2821722145e0,3.2202397481e-1,3.1838386610e-1,9.1749282822e-2,2.8475943544e1,-4.7950604076e-1,1.5701947283e0,8.7815993238e-2,7.5117260026e-1,3.3612834286e-1,2.8571816600e1,-6.9633231894e-1,1.1143270062e0,7.0152407389e-3,9.4438324405e-1,4.0712722572e-1
5.450000,2.9595698282e1,-9.9499525232e-2,3.3697450468e0,3.2942366160e-1,3.0479032383e-1,8.4774890137e-2,2.9564274755e1,-4.7073889151e-1,1.5919742318e0,9.2082377089e-2,7.4302242029e-1,3.3228712805e-1,2.9661360120e1,-6.9393184396e-1,1.1186865532e0,7.5016518792e-3,9.4232500053e-1,4.0658577616e-1
5.551020,3.0712026171e1,-9.1885281651e-2,3.4589520085e0,3.3665590915e-1,2.9153904954e-1,7.8161331230e-2,3.0673120184e1,-4.6194721131e-1,1.6141634999e0,9.6410580969e-2,7.3481068016e-1,3.2835480145e-1,3.0771298373e1,-6.9149303784e-1,1.1231276945e0,8.0098505864e-3,9.4023286130e-1,4.0603056294e-1
5.652041,3.1848761986e1,-8.4744534568e-2,3.5497917270e0,3.4372140310e-1,2.7863631704e-1,7.1909302294e-2,3.1802484473e1,-4.5313738971e-1,1.6367626047e0,1.0079621547e-1,7.2654139343e-1,3.2433316960e-1,3.1901632504e1,-6.8901625857e-1,1.1276504341e0,8.5401853215e-3,9.3810707224e-1,4.0546141389e-1
5.753061,3.3005879873e1,-7.8062154402e-2,3.6422626546e0,3.5062125014e-1,2.6608729130e-1,6.6016926045e-2,3.2952370938e1,-4.4431579813e-1,1.6597715933e0,1.0523491831e-1,7.1821856393e-1,3.2022425908e-1,3.3052362076e1,-6.8650187304e-1,1.1322547697e0,9.0929867067e-3,9.3594788276e-1,4.0487815643e-1
5.854082,3.4183351073e1,-7.1821915371e-2,3.7363629696e0,3.5735691860e-1,2.5389606098e-1,6.0479977939e-2,3.4122783815e1,-4.3548876455e-1,1.6831905324e0,1.0972237643e-1,7.0984618262e-1,3.1603031539e-1,3.4223487794e1,-6.8395025189e-1,1.1369407037e0,9.6685684271e-3,9.3375554583e-1,4.0428061776e-1
5.955102,3.5381155526e1,-6.6006585926e-2,3.8320915033e0,3.6393025463e-1,2.4206567375e-1,5.5292126829e-2,3.5313726442e1,-4.2666257760e-1,1.7070194722e0,1.1425433118e-1,7.0142822450e-1,3.1175380096e-1,3.5415011666e1,-6.8136176918e-1,1.1417082435e0,1.0267227050e-2,9.3153031783e-1,4.0366862498e-1
6.056122,3.6599274897e1,-6.0598215038e-2,3.9294471802e0,3.7034339063e-1,2.3059817422e-1,5.0445183909e-2,3.6525200495e1,-4.1784348251e-1,1.7312584308e0,1.1882658655e-1,6.9296864552e-1,3.0739739208e-1,3.6626932587e1,-6.7873681057e-1,1.1465573840e0,1.0889239523e-2,9.2927245864e-1,4.0304200524e-1
6.157143,3.7837688099e1,-5.5578365699e-2,4.0284286598e0,3.7659868048e-1,2.1949464409e-1,4.5929354253e-2,3.7757210311e1,-4.0903764181e-1,1.7559074813e0,1.2343503533e-1,6.8447137972e-1,3.0296397483e-1,3.7859251723e1,-6.7607576322e-1,1.1514881296e0,1.1534865613e-2,9.2698223142e-1,4.0240058591e-1
6.258163,3.9096382252e1,-5.0928195236e-2,4.1290352137e0,3.8269871809e-1,2.0875524424e-1,4.1733485984e-2,3.9009757364e1,-4.0025116475e-1,1.7809666407e0,1.2807564704e-1,6.7594033615e-1,2.9845663996e-1,3.9111969587e1,-6.7337902121e-1,1.1565004815e0,1.2204346249e-2,9.2465990269e-1,4.0174419473e-1
6.359184,4.0375344623e1,-4.6628701957e-2,4.2312660815e0,3.8864625917e-1,1.9837925846e-1,3.7845312638e-2,4.0282844714e1,-3.9149006750e-1,1.8064359592e0,1.3274449223e-1,6.6737939611e-1,2.9387867676e-1,4.0385086541e1,-6.7064698459e-1,1.1615944408e0,1.2897903594e-2,9.2230574227e-1,4.0107266002e-1
6.460204,4.1674565520e1,-4.2660853936e-2,4.3351207026e0,3.9444420468e-1,1.8836513861e-1,3.4251685152e-2,4.1576474384e1,-3.8276028221e-1,1.8323154680e0,1.3743773937e-1,6.5879241033e-1,2.8923356596e-1,4.1678603452e1,-6.6788005798e-1,1.1667700103e0,1.3615741284e-2,9.1992002309e-1,4.0038581075e-1
6.561224,4.2994033032e1,-3.9005768581e-2,4.4405982989e0,4.0009554977e-1,1.7871055081e-1,3.0938790455e-2,4.2890646998e1,-3.7406765014e-1,1.8586051715e0,1.4215165934e-1,6.5018319621e-1,2.8452497160e-1,4.2992520860e1,-6.6507865223e-1,1.1720271916e0,1.4358043891e-2,9.1750302133e-1,3.9968347680e-1
6.662245,4.4333742070e1,-3.5644767811e-2,4.5476985982e0,4.0560339912e-1,1.6941242247e-1,2.7892354557e-2,4.4225364304e1,-3.6541789628e-1,1.8853050983e0,1.4688263941e-1,6.4155553514e-1,2.7975673200e-1,4.4326838995e1,-6.6224318421e-1,1.1773659850e0,1.5124976862e-2,9.1505501628e-1,3.9896548908e-1
6.763265,4.5693686651e1,-3.2559546746e-2,4.6564212203e0,4.1097091070e-1,1.6046698986e-1,2.5097828344e-2,4.5580626198e1,-3.5681664025e-1,1.9124152412e0,1.5162717644e-1,6.3291316997e-1,2.7493284985e-1,4.5681559154e1,-6.5937407423e-1,1.1827863952e0,1.5916687304e-2,9.1257629020e-1,3.9823167969e-1
6.864286,4.7073862008e1,-2.9732250626e-2,4.7667658483e0,4.1620128633e-1,1.5186984601e-1,2.2540555341e-2,4.6956436513e1,-3.4826935103e-1,1.9399356737e0,1.5638190029e-1,6.2425980242e-1,2.7005748135e-1,4.7056681234e1,-6.5647175058e-1,1.1882884211e0,1.6733302571e-2,9.1006712840e-1,3.9748188212e-1
6.965306,4.8474271016e1,-2.7145517312e-2,4.8787327443e0,4.2129777801e-1,1.4361598857e-1,2.0205920717e-2,4.8352792463e1,-3.3978140573e-1,1.9678663380e0,1.6114353945e-1,6.1559909068e-1,2.6513492461e-1,4.8452206173e1,-6.5353664492e-1,1.1938720660e0,1.7574931739e-2,9.0752781914e-1,3.9671593142e-1
7.066327,4.9894911152e1,-2.4782625022e-2,4.9923217105e0,4.2626362351e-1,1.3569986761e-1,1.8079481724e-2,4.9769695778e1,-3.3135801134e-1,1.9962072682e0,1.6590896141e-1,6.0693464700e-1,2.6016960733e-1,4.9868134399e1,-6.5056919510e-1,1.1995373309e0,1.8441664776e-2,9.0495865358e-1,3.9593366436e-1
