lambda,n_omega50,n_over_eta_omega50,n_omega100,n_over_eta_omega100,n_omega500,n_over_eta_omega500,n_omega1000,n_over_eta_omega1000
2.87894737,0.1610898131,0.0032217963,0.0814950767,0.0008149508,0.0165127152,0.0000330254,0.0082720585,0.0000082721
2.90375940,0.1639048814,0.0032780976,0.0829098201,0.0008290982,0.0167986050,0.0000335972,0.0084152607,0.0000084153
2.92857143,0.1667448740,0.0033348975,0.0843368364,0.0008433684,0.0170869513,0.0000341739,0.0085596927,0.0000085597
2.95338346,0.1696097679,0.0033921954,0.0857761127,0.0008577611,0.0173777519,0.0000347555,0.0087053556,0.0000087054
2.97819549,0.1724996359,0.0034499927,0.0872276715,0.0008722767,0.0176710079,0.0000353420,0.0088522456,0.0000088522
3.00300752,0.1754144616,0.0035082892,0.0886914929,0.0008869149,0.0179667171,0.0000359334,0.0090003664,0.0000090004
3.02781955,0.1783542549,0.0035670851,0.0901676016,0.0009016760,0.0182648815,0.0000365298,0.0091497148,0.0000091497
3.05263158,0.1813190353,0.0036263807,0.0916559817,0.0009165598,0.0185655018,0.0000371310,0.0093002937,0.0000093003
3.07744361,0.1843088134,0.0036861763,0.0931566514,0.0009315665,0.0188685754,0.0000377372,0.0094521005,0.0000094521
3.10225564,0.1873235983,0.0037464720,0.0946696043,0.0009466960,0.0191741049,0.0000383482,0.0096051365,0.0000096051
3.12706767,0.1903634062,0.0038072681,0.0961948400,0.0009619484,0.0194820891,0.0000389642,0.0097594013,0.0000097594
3.15187970,0.1934282482,0.0038685650,0.0977323715,0.0009773237,0.0197925280,0.0000395851,0.0099148967,0.0000099149
3.17669173,0.1965181306,0.0039303626,0.0992821954,0.0009928220,0.0201054204,0.0000402108,0.0100716193,0.0000100716
3.20150376,0.1996330754,0.0039926615,0.1008443170,0.0010084432,0.0204207706,0.0000408415,0.0102295722,0.0000102296
3.22631579,0.2027730814,0.0040554616,0.1024187327,0.0010241873,0.0207385757,0.0000414772,0.0103887534,0.0000103888
3.25112782,0.2059381657,0.0041187633,0.1040054418,0.0010400544,0.0210588337,0.0000421177,0.0105491646,0.0000105492
3.27593985,0.2091283388,0.0041825668,0.1056044684,0.0010560447,0.0213815483,0.0000427631,0.0107108046,0.0000107108
3.30075188,0.2123436124,0.0042468722,0.1072157967,0.0010721580,0.0217067169,0.0000434134,0.0108736736,0.0000108737
3.32556391,0.2155839965,0.0043116799,0.1088394322,0.0010883943,0.0220343409,0.0000440687,0.0110377718,0.0000110378
3.35037594,0.2188495014,0.0043769900,0.1104753853,0.0011047539,0.0223644211,0.0000447288,0.0112030988,0.0000112031
3.37518797,0.2221401361,0.0044428027,0.1121236438,0.0011212364,0.0226969562,0.0000453939,0.0113696555,0.0000113697
3.40000000,0.2254559131,0.0045091183,0.1137842252,0.0011378423,0.0230319438,0.0000460639,0.0115374424,0.0000115374
